,Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
0,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,221,"Almonds, with shell",2020,2020,ha,8798.0,Im,FAO data based on imputation methodology
1,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,515,Apples,2020,2020,ha,75241.0,Im,FAO data based on imputation methodology
2,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,526,Apricots,2020,2020,ha,17062.0,Im,FAO data based on imputation methodology
5,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,782,"Bastfibres, other",2020,2020,ha,448.0,Im,FAO data based on imputation methodology
13,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,531,Cherries,2020,2020,ha,959.0,Im,FAO data based on imputation methodology
18,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,577,Dates,2020,2020,ha,106488.0,Im,FAO data based on imputation methodology
20,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,569,Figs,2020,2020,ha,69.0,Im,FAO data based on imputation methodology
23,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,603,"Fruit, tropical fresh nes",2020,2020,ha,67132.0,Im,FAO data based on imputation methodology
27,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,560,Grapes,2020,2020,ha,16967.0,Im,FAO data based on imputation methodology
31,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,780,Jute,2020,2020,ha,13.0,Im,FAO data based on imputation methodology
38,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,568,"Melons, other (inc.cantaloupes)",2020,2020,ha,2122.0,Im,FAO data based on imputation methodology
40,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,234,Nuts nes,2020,2020,ha,4285.0,Im,FAO data based on imputation methodology
43,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,490,Oranges,2020,2020,ha,135692.0,Im,FAO data based on imputation methodology
45,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,534,Peaches and nectarines,2020,2020,ha,13417.0,Im,FAO data based on imputation methodology
46,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,521,Pears,2020,2020,ha,1576.0,Im,FAO data based on imputation methodology
49,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,197,Pigeon peas,2020,2020,ha,6.0,Im,FAO data based on imputation methodology
50,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,223,Pistachios,2020,2020,ha,155.0,Im,FAO data based on imputation methodology
51,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,536,Plums and sloes,2020,2020,ha,5765.0,Im,FAO data based on imputation methodology
57,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,149,Roots and tubers nes,2020,2020,ha,22025.0,Im,FAO data based on imputation methodology
69,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,495,"Tangerines, mandarins, clementines, satsumas",2020,2020,ha,51290.0,Im,FAO data based on imputation methodology
73,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,222,"Walnuts, with shell",2020,2020,ha,1700.0,Im,FAO data based on imputation methodology
74,QCL,Crops and livestock products,165,Pakistan,5312,Area harvested,567,Watermelons,2020,2020,ha,38245.0,Im,FAO data based on imputation methodology
